,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day
263,Hitman: Absolution,/games/hitman-absolution/ps3-14348845,PlayStation 3,9,Action,Y,2012,11,18
264,Hitman: Absolution,/games/hitman-absolution/xbox-360-14348846,Xbox 360,9,Action,Y,2012,11,18
265,ZombiU,/games/zombi-u/wii-u-135661,Wii U,6.3,Shooter,N,2012,11,18
266,Grand Theft Auto: Vice City,/games/grand-theft-aut-vice-city/iphone-146059,iPhone,7.7,"Action, Adventure",N,2012,12,18
267,Street Fighter X Mega Man,/games/street-fighter-x-mega-man/pc-149856,PC,7,Action,N,2012,12,18
268,Sonic & All-Stars Racing Transformed,/games/sonic-all-stars-racing-transformed/vita-133506,PlayStation Vita,7,"Racing, Action",N,2012,12,17
270,The Sims 3: Seasons,/games/the-sims-3-seasons/pc-138921,PC,7.5,Simulation,N,2012,12,17
271,Tank! Tank! Tank!,/games/tank-tank-tank/wii-u-135735,Wii U,5.8,Action,N,2012,12,14
272,Guardians of Middle-earth,/games/guardians-of-middle-earth/xbox-360-135298,Xbox 360,7.5,Battle,N,2012,12,14
273,Ratchet & Clank: Full Frontal Assault,/games/ratchet-and-clank-full-frontal-assault/ps3-135296,PlayStation 3,6.4,Action,N,2012,12,14
274,Page Chronica,/games/page-chronica/ps3-145412,PlayStation 3,4.1,Puzzle,N,2012,12,14
276,Batman: Arkham City -- Armored Edition,/games/batman-arkham-city/wii-u-110822,Wii U,9.5,Action,Y,2012,11,17
277,Disney Epic Mickey 2: The Power of Two,/games/disney-epic-mickey-2-the-power-of-two/ps3-125841,PlayStation 3,6,"Action, Adventure",N,2012,11,17
278,Disney Epic Mickey 2: The Power of Two,/games/disney-epic-mickey-2-the-power-of-two/xbox-360-125840,Xbox 360,6,"Action, Adventure",N,2012,11,17
280,Scribblenauts Unlimited,/games/scribblenauts-unlimited/wii-u-135731,Wii U,8.8,"Puzzle, Action",Y,2012,11,16
282,Fallen Enchantress,/games/elemental-fallen-enchantress/pc-101961,PC,7.9,Strategy,N,2012,11,16
284,Miner Wars 2081,/games/miner-wars-2081/pc-21143,PC,5,Shooter,N,2012,12,14
285,Guardians of Middle-earth,/games/guardians-of-middle-earth/ps3-135301,PlayStation 3,7.5,Battle,N,2012,12,14
286,The Elder Scrolls V: Skyrim -- Dragonborn,/games/the-elder-scrolls-v-skyrim-dragonborn/xbox-360-146422,Xbox 360,8.8,RPG,N,2012,12,13
287,Baldur's Gate -- Enhanced Edition,/games/baldurs-gate-enhanced-edition/ipad-130702,iPad,6,RPG,N,2012,12,13
289,Black Knight Sword,/games/black-knight-sword/ps3-115068,PlayStation 3,6.9,"Puzzle, Adventure",N,2012,12,13
290,The Walking Dead: A Telltale Game Series -- Season One,/games/the-walking-dead-the-game/xbox-360-100888,Xbox 360,9.3,Adventure,Y,2012,12,12
291,Sonic & All-Stars Racing Transformed,/games/sonic-all-stars-racing-transformed/xbox-360-133505,Xbox 360,8.6,"Racing, Action",N,2012,11,15
292,New Super Mario Bros. U,/games/new-super-mario-bros-u/wii-u-135584,Wii U,9.1,Platformer,Y,2012,11,15
293,Sonic & All-Stars Racing Transformed,/games/sonic-all-stars-racing-transformed/ps3-133498,PlayStation 3,8.6,"Racing, Action",N,2012,11,15
295,ARC Squadron,/games/arc-squadron-145523/iphone-145520,iPhone,7.3,"Flight, Action",N,2012,11,13
296,Ninja Gaiden III: Razor's Edge,/games/ninja-gaiden-iii-razors-edge/wii-u-110811,Wii U,7.6,Action,N,2012,11,13
297,The Walking Dead: A Telltale Game Series -- Season One,/games/the-walking-dead-the-game/ps3-100887,PlayStation 3,9.3,Adventure,Y,2012,12,12
298,The Walking Dead -- Game of the Year Edition,/games/the-walking-dead-game-of-the-year-edition/pc-20008044,PC,9.3,Adventure,Y,2012,12,12
299,The Walking Dead: A Telltale Game Series -- Season One,/games/the-walking-dead-the-game/iphone-150119,iPhone,9.3,Adventure,Y,2012,12,12
301,Baldur's Gate -- Enhanced Edition,/games/baldurs-gate-enhanced-edition/pc-130328,PC,8.1,RPG,N,2012,11,30
303,PlanetSide 2,/games/planetside-2/pc-14242769,PC,9,Shooter,Y,2012,11,30
304,Disney Epic Mickey 2: The Power of Two,/games/disney-epic-mickey-2-the-power-of-two/wii-u-142951,Wii U,6,"Action, Adventure",N,2012,11,29
305,The Walking Dead: A Telltale Game Series -- Season One,/games/the-walking-dead-the-game/pc-100880,PC,9.3,Adventure,Y,2012,12,12
307,Strike Suit Zero,/games/strike-suit-zero/pc-115112,PC,7.5,Shooter,N,2013,1,22
308,Final Fantasy: All The Bravest,/games/final-fantasy-all-the-bravest-156962/iphone-156958,iPhone,2.5,RPG,N,2013,1,18
309,Tokyo Crash Mobs,/games/tokyo-crash-mobs/3ds-144441,Nintendo 3DS,7.7,"Puzzle, Action",N,2013,1,18
310,Ni no Kuni: Wrath of the White Witch,/games/ni-no-kuni/ps3-14284017,PlayStation 3,9.4,RPG,Y,2013,1,15
312,Borderlands 2: Sir Hammerlock's Big Game Hunt,/games/borderlands-2-hammerlocks-big-game-hunt/xbox-360-150509,Xbox 360,6.9,"Shooter, RPG",N,2013,1,15
317,Warriors Orochi 3 Hyper,/games/warriors-orochi-3-hyper/wii-u-142961,Wii U,7,Action,N,2012,11,29
319,Skylanders Battlegrounds,/games/skylanders-battlegrounds/iphone-146163,iPhone,6.6,Action,N,2012,11,28
320,Rage of the Gladiator,/games/rage-of-the-gladiator-2010/iphone-146969,iPhone,7.6,Action,N,2012,11,28
321,FIFA Soccer 13,/games/fifa-2013/wii-u-136146,Wii U,6,Sports,N,2012,11,27
322,Family Guy: Back to the Multiverse,/games/family-guy-back-to-the-multiverse/xbox-360-133934,Xbox 360,6,Adventure,N,2012,11,27
323,Family Guy: Back to the Multiverse,/games/family-guy-back-to-the-multiverse/ps3-133931,PlayStation 3,6,Adventure,N,2012,11,27
324,Little Inferno,/games/little-inferno/pc-136966,PC,5,Puzzle,N,2012,11,27
325,Little Inferno,/games/little-inferno/wii-u-137620,Wii U,5,Puzzle,N,2012,11,27
328,The Walking Dead: A Telltale Game Series -- Season One,/games/the-walking-dead-the-game/ipad-100886,iPad,9.3,Adventure,Y,2012,12,12
330,Jet Set Radio,/games/jet-set-radio/iphone-138175,iPhone,5.6,Action,N,2012,12,12
334,Just Dance 4,/games/just-dance-4/wii-u-135665,Wii U,5.3,Music,N,2012,12,10
339,DmC: Devil May Cry,/games/dmc/ps3-85707,PlayStation 3,8.5,Action,Y,2013,1,14
340,The Earth Defense Force 2017 Portable,/games/the-earth-defense-force-2017/vita-137197,PlayStation Vita,7.5,Action,N,2013,1,14
341,007 Legends,/games/007-legends/wii-u-142949,Wii U,4.2,Action,N,2013,1,14
344,Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/wii-u-136081,Wii U,9.3,Shooter,Y,2012,11,21
345,Rabbids Land,/games/rayman-raving-rabbids-for-wii-u/wii-u-110845,Wii U,5,Party,N,2012,11,21
346,Tekken Tag Tournament 2: Wii U Edition,/games/tekken-tag-tournament-2/wii-u-110807,Wii U,7.5,Fighting,N,2012,11,21
347,Far Cry 3,/games/far-cry-3/pc-53492,PC,9,Shooter,Y,2012,11,21
348,Madden NFL 13,/games/madden-nfl-2013/wii-u-110858,Wii U,8.3,Sports,N,2012,11,21
349,Far Cry 3,/games/far-cry-3/ps3-53488,PlayStation 3,9,Shooter,Y,2012,11,21
350,Little Inferno,/games/little-inferno/mac-137618,Macintosh,5,Puzzle,N,2012,11,27
351,Little Inferno,/games/little-inferno/ipad-162572,iPad,5,Puzzle,N,2012,11,27
352,Little Inferno,/games/little-inferno/linux-137619,Linux,5,Puzzle,N,2012,11,27
353,Little Inferno,/games/little-inferno/iphone-159505,iPhone,5,Puzzle,N,2012,11,27
354,Little Chomp,/games/little-chomp/iphone-148128,iPhone,8,Action,N,2012,11,26
357,LEGO The Lord of the Rings [Portable],/games/lego-the-lord-of-the-rings-portable/vita-140079,PlayStation Vita,3.8,"Action, Adventure",N,2012,11,26
360,Mass Effect,/games/mass-effect/ps3-143827,PlayStation 3,9,RPG,Y,2012,12,10
361,Guilty Gear XX Accent Core Plus,/games/guilty-gear-xx-accent-core-plus/xbox-360-128867,Xbox 360,8.3,Fighting,N,2012,12,7
362,Guilty Gear XX Accent Core Plus,/games/guilty-gear-xx-accent-core-plus/ps3-128866,PlayStation 3,8.3,Fighting,N,2012,12,7
363,Uncharted: Fight For Fortune,/games/uncharted-fight-for-fortune/vita-146817,PlayStation Vita,7,"Card, Battle",N,2012,12,6
364,Modern Combat 4: Zero Hour,/games/modern-combat-4-zero-hour/iphone-143811,iPhone,7.8,Shooter,N,2012,12,6
365,Wonderbook: Book  of Spells,/games/book-of-spells/ps3-135683,PlayStation 3,6,"Simulation, Adventure",N,2012,12,6
367,Joe Danger,/games/joe-danger-touch/iphone-136836,iPhone,9.1,Action,Y,2013,1,14
368,DmC: Devil May Cry,/games/dmc/xbox-360-86431,Xbox 360,8.9,Action,Y,2013,1,14
371,Kentucky Route Zero: Act 1,/games/kentucky-route-zero-154732/pc-115270,PC,8.3,Adventure,N,2013,1,11
372,Primordia,/games/primordia/pc-140042,PC,6.8,Adventure,N,2013,1,11
373,Mutant Mudds,/games/mutant-mudds/iphone-149490,iPhone,9.1,Platformer,Y,2013,1,10
374,Far Cry 3,/games/far-cry-3/xbox-360-53491,Xbox 360,9,Shooter,Y,2012,11,21
375,Mass Effect 3 (Special Edition),/games/mass-effect-3/wii-u-135743,Wii U,9.5,RPG,N,2012,11,21
376,Nano Assault Neo,/games/nano-assault-neo/wii-u-142952,Wii U,9,Shooter,Y,2012,11,20
378,Assassin's Creed III,/games/assassins-creed-iii/wii-u-110823,Wii U,8.5,"Action, Adventure",N,2012,11,20
379,Borderlands 2: Mr. Torgue's Campaign of Carnage,/games/borderlands-2-mr-torgues-campaign-of-carnage/pc-147951,PC,9.2,"Shooter, RPG",Y,2012,11,20
384,LEGO The Lord of the Rings,/games/lego-the-lord-of-the-rings/ps3-135460,PlayStation 3,6.8,"Action, Adventure",N,2012,11,26
385,The Walking Dead: Assault,/games/the-walking-dead-assault/iphone-149294,iPhone,7.5,Adventure,N,2012,12,4
386,Miasmata,/games/miasmata/pc-149038,PC,7.9,Adventure,N,2012,12,4
387,Bladeslinger: Episode 1,/games/bladeslinger/iphone-119042,iPhone,7.2,Action,N,2012,12,3
389,ESPN Sports Connection,/games/sports-connection/wii-u-135664,Wii U,3,Sports,N,2012,12,3
392,Labyrinth Legends,/games/labyrinth-legends/ps3-148868,PlayStation 3,7.7,RPG,N,2013,1,7
393,Ace of Spades,/games/ace-of-spades-149688/pc-106949,PC,5.9,Shooter,N,2013,1,4
394,Monsters Inc. Run,/games/monsters-inc-run/iphone-150128,iPhone,7.7,Action,N,2013,1,3
395,Pudding Monsters,/games/pudding-monsters/iphone-149492,iPhone,7.3,"Puzzle, Adventure",N,2012,12,20
397,PlayStation All-Stars Battle Royale,/games/playstation-all-stars-battle-royale/ps3-123511,PlayStation 3,8,Fighting,N,2012,11,20
399,The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/xbox-360-135886,Xbox 360,9.5,Adventure,Y,2012,11,19
401,Namco Museum Vol. 2,/games/namco-museum-vol-2/ps-730,PlayStation,6,"Action, Compilation",N,1996,11,25
402,Raven Project,/games/raven-project/ps-184,PlayStation,3,Action,N,1996,11,25
404,Return Fire,/games/return-fire/ps-172,PlayStation,7,Action,N,1996,11,25
405,Rise 2: Resurrection,/games/rise-2-resurrection/ps-174,PlayStation,2,Fighting,N,1996,11,25
406,Robo Pit,/games/robo-pit/ps-175,PlayStation,6.5,Fighting,N,1996,11,25
407,NBA ShootOut,/games/nba-shootout/ps-163,PlayStation,6,Sports,N,1996,11,25
411,CyberSpeed,/games/cyberspeed/ps-139,PlayStation,5,Racing,N,1996,11,21
413,Assault Rigs,/games/assault-rigs/ps-134,PlayStation,6,Action,N,1996,11,21
415,Doom (1993),/games/doom/ps-671,PlayStation,7,Shooter,N,1996,11,21
416,Bottom of the 9th,/games/bottom-of-the-9th/ps-110,PlayStation,8,Sports,N,1996,11,21
417,Adidas Power Soccer,/games/adidas-power-soccer/ps-715,PlayStation,7,Sports,N,1996,11,21
418,Agile Warrior F-111X,/games/agile-warrior-f-111x/ps-133,PlayStation,2,Action,N,1996,11,21
421,Fade to Black,/games/fade-to-black/ps-146,PlayStation,7,Adventure,N,1996,11,21
422,Die Hard Trilogy,/games/die-hard-trilogy/ps-447,PlayStation,7.5,Action,N,1996,11,21
423,Discworld,/games/discworld/ps-583,PlayStation,7,Adventure,N,1996,11,21
427,Bogey Dead 6,/games/bogey-dead-6/ps-449,PlayStation,6,"Flight, Action",N,1996,11,21
428,Namco Museum Vol. 1,/games/namco-museum-vol-1/ps-702,PlayStation,8,"Action, Compilation",N,1996,11,25
429,Road & Track Presents: The Need for Speed,/games/road-and-track-presents-the-need-for-speed/ps-1864,PlayStation,7,Racing,N,1996,11,25
430,Romance of the Three Kingdoms IV: Wall of Fire,/games/romance-of-the-three-kingdoms-iv-wall-of-fire/ps-478,PlayStation,6,Strategy,N,1996,11,25
431,PGA Tour '96,/games/pga-tour-96/ps-165,PlayStation,7,Sports,N,1996,11,25
437,Gunship,/games/gunship-23429/ps-280,PlayStation,3,Simulation,N,1996,11,25
438,Olympic Summer Games: Atlanta '96,/games/olympic-summer-games-atlanta-96-808731/ps-551,PlayStation,6,Sports,N,1996,11,25
439,Revolution X,/games/revolution-x/ps-689,PlayStation,1,Action,N,1996,11,25
440,Shockwave Assault,/games/shockwave-assault/ps-679,PlayStation,4,Action,N,1996,11,25
442,Twisted Metal [1996],/games/twisted-metal-1996/ps-444,PlayStation,7,Action,N,1996,11,26
444,WipEout,/games/wipeout/ps-192,PlayStation,8,Racing,N,1996,11,26
445,Tobal No. 1,/games/tobal-no-1/ps-743,PlayStation,8.7,Fighting,Y,1996,11,26
449,Destruction Derby,/games/destruction-derby/ps-144,PlayStation,7,"Racing, Action",N,1996,11,21
451,Creature Shock (Special Edition),/games/creature-shock/ps-136,PlayStation,2,Action,N,1996,11,21
452,Air Combat,/games/air-combat/ps-393,PlayStation,7,"Flight, Action",N,1996,11,21
453,Descent,/games/descent-1995/ps-143,PlayStation,7,Action,N,1996,11,21
456,The King of Fighters '95,/games/the-king-of-fighters-95/ps-2072,PlayStation,5,Fighting,N,1996,11,25
458,Epidemic,/games/epidemic/ps-299,PlayStation,4,Action,N,1996,11,25
459,Philosoma,/games/philosoma/ps-166,PlayStation,5,Action,N,1996,11,25
460,NBA In the Zone,/games/nba-in-the-zone-36223/ps-164,PlayStation,5,Sports,N,1996,11,25
462,Power Serve 3D Tennis,/games/power-serve-3d-tennis/ps-167,PlayStation,2,Sports,N,1996,11,25
463,Resident Evil [1996],/games/resident-evil/ps-610,PlayStation,8.7,"Action, Adventure",N,1996,11,25
466,Frank Thomas: Big Hurt Baseball,/games/frank-thomas-big-hurt-baseball/pc-672,PC,6,Sports,N,1996,11,25
469,International Track & Field,/games/international-track-field/ps-12,PlayStation,7,Sports,N,1996,11,25
471,PO'ed,/games/poed/ps-2098,PlayStation,8,Action,N,1996,11,25
472,NBA Jam: Tournament Edition,/games/nba-jam-tournament-edition/ps-701,PlayStation,6.5,Sports,N,1996,11,25
473,WWF Wrestlemania: The Arcade Game,/games/wwf-wrestlemania/ps-714,PlayStation,7,Wrestling,N,1996,11,26
474,Williams Arcade's Greatest Hits,/games/williams-arcades-greatest-hits/ps-202,PlayStation,7,Compilation,N,1996,11,26
475,Tetris Plus,/games/tetris-plus/ps-725,PlayStation,6,Puzzle,N,1996,11,26
476,Slam 'n Jam '96: Featuring Magic and Kareem,/games/slam-n-jam-96-featuring-magic-and-kareem/ps-708,PlayStation,5,Sports,N,1996,11,26
477,V-Tennis,/games/v-tennis/ps-712,PlayStation,4,Sports,N,1996,11,26
478,Tokyo Highway Battle,/games/tokyo-highway-battle/ps-185,PlayStation,7,Racing,N,1996,11,26
479,Zero Divide,/games/zero-divide/ps-193,PlayStation,5,Fighting,N,1996,11,26
480,X-COM: UFO Defense,/games/ufo-enemy-unknown/ps-686,PlayStation,9,Strategy,Y,1996,11,26
481,Darkstalkers: The Night Warriors,/games/darkstalkers-the-night-warriors/ps-141,PlayStation,6.5,Fighting,N,1996,11,21
482,FIFA Soccer '96,/games/fifa-soccer-96/ps-542,PlayStation,7.8,Sports,N,1996,11,21
483,Mortal Kombat Trilogy,/games/mortal-kombat-trilogy/n64-454,Nintendo 64,4.1,Fighting,N,1996,11,20
484,Wave Race 64,/games/wave-race-64/n64-81,Nintendo 64,9.7,Racing,Y,1996,11,15
485,Battle Arena Toshinden Remix,/games/battle-arena-toshinden-remix/saturn-195,Saturn,5,Fighting,N,1996,11,15
486,Cruis'n USA,/games/cruisn-usa/n64-498,Nintendo 64,4,Racing,N,1996,11,14
488,Pilotwings 64,/games/pilotwings-64/n64-83,Nintendo 64,8.2,Flight,N,1996,9,25
489,Road Rash,/games/road-rash/ps-102,PlayStation,5,"Racing, Action",N,1996,11,25
491,Shellshock,/games/shellshock/ps-177,PlayStation,7,Action,N,1996,11,25
492,SimCity 2000,/games/simcity-2000/ps-680,PlayStation,7,Strategy,N,1996,11,25
494,The Hive,/games/the-hive/ps-693,PlayStation,3,Action,N,1996,11,25
495,Loaded,/games/loaded/ps-157,PlayStation,7.5,Shooter,N,1996,11,25
496,Revolution X,/games/revolution-x/ps-689,PlayStation,1,Action,N,1996,11,25
497,Olympic Summer Games: Atlanta '96,/games/olympic-summer-games-atlanta-96-808731/ps-551,PlayStation,6,Sports,N,1996,11,25
498,NBA Live '96,/games/nba-live-96/ps-171,PlayStation,7,Sports,N,1996,11,25
499,Psychic Detective,/games/psychic-detective/ps-526,PlayStation,2,Adventure,N,1996,11,25
500,NHL FaceOff,/games/nhl-faceoff/ps-555,PlayStation,9,Sports,N,1996,11,25
501,NFL GameDay,/games/nfl-gameday/ps-553,PlayStation,8,Sports,N,1996,11,25
504,Silverload,/games/silverload/ps-585,PlayStation,6,Adventure,N,1996,11,25
505,Formula 1,/games/formula-1/ps-106,PlayStation,8,Racing,N,1996,11,25
506,Worms,/games/worms/ps-277,PlayStation,8,Strategy,N,1996,11,26
507,Zoop,/games/zoop/ps-721,PlayStation,5,Puzzle,N,1996,11,26
508,Space Griffon,/games/space-griffon/ps-709,PlayStation,2,Action,N,1996,11,26
509,Tekken 2,/games/tekken-2/ps-475,PlayStation,9,Fighting,Y,1996,11,26
510,Warhawk,/games/warhawk/ps-189,PlayStation,8.7,"Flight, Action",N,1996,11,26
512,Romance of the Three Kingdoms IV: Wall of Fire,/games/romance-of-the-three-kingdoms-iv-wall-of-fire/ps-478,PlayStation,6,Strategy,N,1996,11,25
513,Advanced Dungeons & Dragons: Iron & Blood -- Warriors of Ravenloft,/games/advanced-dungeons-dragons-iron-blood-warriors-of-ravenloft/ps-303,PlayStation,4,Fighting,N,1996,11,25
514,Super Mario 64,/games/super-mario-64/n64-606,Nintendo 64,9.8,Platformer,Y,1996,9,25
515,Baku Baku,/games/baku-baku/saturn-194,Saturn,7,Puzzle,N,1996,6,18
516,The Walking Dead: The Game -- Episode 1: A New Day,/games/the-walking-dead-season-1-episode-1/xbox-360-135866,Xbox 360,8.5,Adventure,N,1970,1,1
517,Olympic Soccer,/games/olympic-soccer/ps-552,PlayStation,6,Sports,N,1996,11,25
518,Off-World Interceptor Extreme,/games/off-world-interceptor-extreme/ps-704,PlayStation,4,Action,N,1996,11,25
520,Skeleton Warriors,/games/skeleton-warriors/ps-707,PlayStation,5,Action,N,1996,11,25
523,Namco Museum Vol. 1,/games/namco-museum-vol-1/ps-702,PlayStation,8,"Action, Compilation",N,1996,11,25
524,Road & Track Presents: The Need for Speed,/games/road-and-track-presents-the-need-for-speed/ps-1864,PlayStation,7,Racing,N,1996,11,25
525,Mario Kart 64,/games/mario-kart/n64-502,Nintendo 64,8.1,"Racing, Action",Y,1997,2,20
527,Spider,/games/spider/ps-614,PlayStation,6,Action,N,1997,2,14
529,Virtual Pool,/games/virtual-pool/ps-731,PlayStation,7,Sports,N,1997,2,10
530,Pro-Pinball,/games/pro-pinball/ps-756,PlayStation,8,Pinball,N,1997,2,5
